City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
382,chernyshevskiy,63.0128,112.4714,18.71,78,89,2.06,RU,1720570260
383,rumoi,43.9344,141.6428,21.47,72,97,4.62,JP,1720570261
384,pemba,-12.974,40.5178,21.35,65,15,6.02,MZ,1720570262
385,dornach,47.4804,7.6164,20.71,97,95,1.63,CH,1720570264
386,sakakah,29.9697,40.2064,31.76,16,0,3.33,SA,1720570264
387,pathein,16.7833,94.7333,26.44,89,99,2.28,MM,1720570265
388,keflavik,64.0049,-22.5624,10.24,93,0,4.63,IS,1720570266
389,santa marta,11.2408,-74.199,28.33,85,39,6.51,CO,1720570267
390,palangkaraya,-2.2,113.8333,23.41,97,100,0.31,ID,1720570267
391,general pico,-35.6566,-63.7568,2.04,57,22,3.03,AR,1720570268
392,piti village,13.4626,144.6933,30.73,89,40,4.12,GU,1720570269
393,rio grande,-32.035,-52.0986,8.3,86,100,5.35,BR,1720570270
394,beroroha,-21.6667,45.1667,14.41,60,0,1.13,MG,1720570271
395,avesta,60.1455,16.1679,11.33,89,74,1.5,SE,1720570271
396,celestun,20.8667,-90.4,30.04,70,60,6.94,MX,1720570272
397,galion,40.7337,-82.7899,27.57,92,100,4.29,US,1720570273
398,hadibu,12.65,54.0333,26.56,83,90,9.78,YE,1720570274
399,ujae,8.9322,165.7642,28.35,80,81,7.98,MH,1720570274
400,cannonvale,-20.2833,148.7,22.55,78,37,5.71,AU,1720570275
401,caala,-12.8525,15.5606,12.2,27,0,1.27,AO,1720570276
402,paita,-5.0892,-81.1144,19.36,79,27,8.22,PE,1720570278
403,lashio,22.9333,97.75,20.74,99,100,0.18,MM,1720570278
404,ancud,-41.8697,-73.8203,3.95,81,2,2.55,CL,1720570279
405,arraial do cabo,-22.9661,-42.0278,21.52,90,100,2.05,BR,1720570247
406,humaita,-7.5061,-63.0208,29.06,44,48,1.45,BR,1720570281
407,majuro,7.0897,171.3803,28.98,79,100,4.63,MH,1720570227
408,mount gambier,-37.8333,140.7667,7.82,84,14,2.61,AU,1720570282
409,durant,33.994,-96.3708,32.24,52,0,2.6,US,1720570147
410,al bawiti,28.3492,28.8659,29.16,40,0,2.49,EG,1720570284
411,medicine hat,50.0501,-110.6683,32.14,24,0,3.13,CA,1720570285
412,kande,9.9578,1.0447,22.95,85,34,1.91,TG,1720570285
413,alta,69.9689,23.2717,11.22,71,0,2.06,NO,1720570286
414,aasiaat,68.7098,-52.8699,2.87,92,100,0.85,GL,1720570287
415,rongelap,11.1635,166.8941,28.36,76,4,7.9,MH,1720570288
416,cabo san lucas,22.8909,-109.9124,34.17,40,0,3.6,MX,1720570061
417,kutum,14.2,24.6667,27.46,42,96,3.44,SD,1720570289
418,timbauba,-7.5053,-35.3183,21.36,96,34,2.05,BR,1720570290
419,brokopondo,4.75,-55.1667,25.8,85,96,3.37,SR,1720570291
420,beya,53.0533,90.9139,19.1,87,100,1.21,RU,1720570291
421,waddan,29.1614,16.139,28.77,29,0,0.81,LY,1720570292
422,llanes,43.4198,-4.7549,19.07,90,86,2.88,ES,1720570293
423,pocone,-16.2567,-56.6228,16.79,64,19,2.92,BR,1720570294
424,sarkand,45.41,79.9186,19.34,53,73,2.42,KZ,1720570295
425,pemangkat,1.1667,108.9667,24.59,90,100,5.03,ID,1720570295
426,leer,53.2316,7.461,19.99,95,100,3.43,DE,1720570296
427,mtambile,-5.3833,39.7,24.73,81,69,5.56,TZ,1720570298
428,abepura,-2.6333,140.5833,27.45,83,20,1.03,ID,1720570299
429,aripuana,-9.1667,-60.6333,26.04,47,0,0.48,BR,1720570153
430,shihezi,44.3,86.0333,23.04,63,100,3.53,CN,1720570300
431,shalqar,47.8333,59.6,28.77,36,85,3.76,KZ,1720570301
432,menongue,-14.6585,17.691,8.7,28,0,2.37,AO,1720570302
433,paradip garh,20.3167,86.6167,28.44,82,99,4.73,IN,1720570302
434,lahad datu,5.0268,118.327,24.15,94,100,0.94,MY,1720570303
435,mana,5.6592,-53.7767,25.17,88,100,1.67,GF,1720570304
436,cestos city,5.46,-9.5828,25.0,83,74,5.73,LR,1720570305
437,yaren,-0.5472,166.916,28.97,76,97,4.81,NR,1720570305
438,carauari,-4.8828,-66.8958,25.59,70,76,0.7,BR,1720570306
439,ulverstone,-41.15,146.1667,11.51,99,100,0.62,AU,1720570307
440,barreiras,-12.1528,-44.99,22.15,34,8,0.81,BR,1720570308
441,pantai remis,4.4557,100.6288,24.28,88,79,0.73,MY,1720570309
442,kem',64.9555,34.5793,13.31,76,52,3.39,RU,1720570309
443,aykhal,66.0,111.5,18.3,76,100,5.15,RU,1720570310
444,kailua-kona,19.6406,-155.9956,28.98,83,75,6.17,US,1720570311
445,ushibukamachi,32.1906,130.0228,26.96,87,51,6.02,JP,1720570312
446,vuktyl,63.8567,57.3094,19.71,73,33,2.33,RU,1720570313
447,dock junction,31.2025,-81.5168,25.0,99,100,4.63,US,1720570313
448,chernomorskoye,45.5039,32.6997,25.75,67,97,6.56,UA,1720570314
449,talakan,50.3167,130.3667,19.38,54,26,1.98,RU,1720570315
450,greymouth,-42.4667,171.2,9.96,68,100,1.09,NZ,1720570316
451,isla mujeres,21.2311,-86.731,29.03,87,100,4.15,MX,1720570317
452,avarua,-21.2078,-159.775,23.03,60,75,2.57,CK,1720570318
453,canavieiras,-15.675,-38.9472,22.32,87,1,2.01,BR,1720570319
454,tsumeb,-19.2333,17.7167,12.68,18,0,3.87,NA,1720570320
455,al jaradiyah,16.5795,42.9124,33.72,58,94,2.65,SA,1720570320
456,gambela,8.25,34.5833,21.89,78,54,1.13,ET,1720570321
457,nadym,65.5333,72.5167,13.59,63,52,3.98,RU,1720570322
458,qianzhou,28.3167,109.7167,25.95,84,88,0.91,CN,1720570323
459,teknaf,20.8624,92.3058,27.15,83,98,2.16,BD,1720570324
460,port douglas,-16.4833,145.4667,22.73,71,40,2.23,AU,1720570307
461,dudinka,69.4058,86.1778,17.08,69,0,3.73,RU,1720570145
462,tadine,-21.55,167.8833,23.68,71,26,7.85,NC,1720570112
463,halifax,44.6453,-63.5724,21.49,86,100,2.68,CA,1720570175
464,mek'ele,13.4967,39.4753,16.82,81,80,1.74,ET,1720570327
465,kimbe,-5.5502,150.1429,30.23,65,77,3.84,PG,1720570328
466,sohbatpur,28.5202,68.5434,34.43,50,100,3.7,PK,1720570329
467,coahuayana de hidalgo,18.7,-103.6583,27.48,87,100,1.03,MX,1720570330
468,alice springs,-23.7,133.8833,11.75,66,2,1.03,AU,1720570330
469,lakatoro,-16.0999,167.4164,26.38,68,85,8.24,VU,1720570331
470,posto fiscal rolim de moura,-13.0833,-62.2667,21.47,57,0,1.29,BR,1720570332
471,cambria,35.5641,-121.0808,41.41,57,21,5.92,US,1720570333
472,kidal,18.4411,1.4078,32.65,31,45,1.99,ML,1720570333
473,portland,45.5234,-122.6762,40.36,23,75,5.14,US,1720570073
474,las heras,-46.5419,-68.9359,-1.45,79,43,8.78,AR,1720570335
475,dzhalil',55.0239,52.7358,15.03,88,40,3.02,RU,1720570336
476,pacific grove,36.6177,-121.9166,24.19,83,20,5.14,US,1720570337
477,solleftea,63.1667,17.2667,9.92,78,79,0.96,SE,1720570337
478,mikhaylovskoye,51.8239,79.7172,17.23,69,62,2.12,RU,1720570338
479,kristiansund,63.1115,7.732,11.36,53,22,2.06,NO,1720570339
